Id BDTNS,Id Line,Part text,Line,Text,PN/GN as attested,Id PN/GN as attested,PN/GN Normalized,Id PN/GN normalized,PN or GN,Seal,Date
164096,L795769,r.i,16,A-a-kal-l[a],A-a-kal-la,OV_000001,A-a-kal-la,OS_000001,PN,,
164079,L795571,o.,2,ki A-a-kal-la-ta ,A-a-kal-la,OV_000001,A-a-kal-la,OS_000001,PN,,
190135,L1223614,o.,4,1(d) A-a-kal-la,A-a-kal-la,OV_000001,A-a-kal-la,OS_000001,PN,,
163080,L787641,r.i,26,[n] A-a-li2-t[um],A-a-li2-tum,OV_000002,A-a-li2-tum,OS_000002,PN,,
164017,L795056,o.,6,[igi] A-a-mu šidim,A-a-mu,OV_000003,A-a-mu,OS_000003,PN,,
164018,L2716575,t.o.,7,igi A-a-mu [šidim],A-a-mu,OV_000003,A-a-mu,OS_000003,PN,,
162874,L784241,o.,2,18 guruš A-[a-ni] ,A-a-ni,OV_000004,A-a-ni,OS_000004,PN,,
162931,L785757,o.,2,[n guruš] A-[a-ni],A-a-ni,OV_000004,A-a-ni,OS_000004,PN,,
162932,L785780,o.,2,5 guruš A-a-ni,A-a-ni,OV_000004,A-a-ni,OS_000004,PN,,
163083,L787729,o.i,19,nam-10 A-a-ni,A-a-ni,OV_000004,A-a-ni,OS_000004,PN,,
163102,L2386463,o.i,11,nam-10 A-a-ni,A-a-ni,OV_000004,A-a-ni,OS_000004,PN,,
163111,L2386798,r.i,8',nam-10 A-a-[ni],A-a-ni,OV_000004,A-a-ni,OS_000004,PN,,
163248,L790959,o.,3,Ama-kal-la dam / A-al-li2,A-al-li2,OV_000005,A-al-li2,OS_000005,PN,,
162802,L781334,o.,18,⌈e2⌉-ki-ba-gar-ra A-al-lu,A-al-lu,OV_000006,A-al-lu,OS_000006,PN,,
164025,L2716661,s.,1,A-al-lu,A-al-lu,OV_000006,A-al-lu,OS_000006,PN,Seal Legend,
162806,L781520,r.,5,e2 A-al-lu-a,A-al-lu-a,OV_000007,A-al-lu-a,OS_000007,PN,,
162817,L782050,r.,10,e2 A-al-lu-[a] du3-a,A-al-lu-a,OV_000007,A-al-lu-a,OS_000007,PN,,
164025,L2716652,o.,3,A-al-lu-u2,A-al-lu-u2,OV_000008,A-al-lu-u2,OS_000008,PN,,
190135,L1223618,o.,8,1(d) A-ba-ki-du?-ni / dumu Arad2-ni,A-ba-ki-du?-ni,OV_000009,A-ba-ki-du?-ni,OS_000009,PN,,
170093,L2717487,s.ii,4,dumu A-bi-a,A-bi-a,OV_000010,A-bi-a,OS_000010,PN,Seal Legend,
163101,L2387698,o.,4',[n] A-bi-ma-a,A-bi-ma-a,OV_000011,A-bi-ma-a,OS_000011,PN,,
163102,L2386468,o.i,16,240 [A]-bi-nu-ri,A-bi-nu-ri,OV_000012,A-bi-nu-ri,OS_000012,PN,,
163078,L2386397,r.i,6',1020 A-bi-[si2-im-ti],A-bi-si2-im-ti,OV_000013,A-bi-si2-im-ti,OS_000013,PN,,
